Agris Butterfly,Apr - Sept,Flying,8 - 17,"3,000"
Ant,All year,On rotten fruit and turnips,All day,80
Bagworm,All year,Shake tree,All day,600
Centipede,Sept - June,Hit rocks,17 - 23,430
Citrus Long-Horned Beetle,All year,Tree stump,All day,350
Common Butterfly,Sept - June,Flying,4 - 19,160
Cricket,Sept - Nov,Ground,17 - 8,130
Damselfly,Nov - Feb,Flying,All day,500
Darner Dragonfly,Apr - Oct,Flying,8 - 17,230
Diving Beetle,May - Sept,River,8 - 19,800
Dung Beetle,Dec - Feb,Snowballs,All day,"2,500"
Earth-Boring Dung Beetle,July - Sept,Ground,All day,300
Emperor Butterfly,"Dec - Mar | June - Sept",Flying,17 - 8,"4,000"
Flea,Apr - Nov,On a flea-infested villager,All day,70
Fly,All year,On rotten fruit or garbage,All day,60
Grasshopper,July - Sept,Ground,8 - 17,160
Hermit Crab,All year,Beach,19 - 8,"1,000"
Honeybee,Mar - July,Near flowers,8 - 17,200
Ladybug,"Mar - June | Oct",Flowers,8 - 17,200
Long Locust,Apr - Nov,Ground,8 - 19,200
Madagascan Sunset Moth,Apr - Sept,Flying,8 - 16,"2,500"
Man-Faced Stink Bug,Mar - Oct,Flowers,19 - 8,"1,000"
Mantis,Mar - Nov,Flowers,8 - 17,430
Migratory Locust,Feb - May,Ground,8 - 19,200
Mole Cricket,Nov - May,Underground,All day,500
Monarch Butterfly,Sept - Nov,Flying,4 - 17,140
Mosquito,June - Sept,Flying,17 - 4,130
Moth,All year,Lit windows,19 - 4,130
Orchid Mantis,Mar - Nov,Flowers,8 - 17,"2,400"
Paper Kite Butterfly,All year,Flying,8 - 19,"1,000"
Peacock Butterfly,Mar - June,"Near black, blue, or purple flowers",4 - 19,"2,500"
Pill Bug,Sept - June,Hit rocks,23 - 16,250
Pondskater,May - Sept,River,8 - 19,130
Queen Alexandra’s Birdwing,May - Sept,Flying,8 - 16,"4,000"
Rainbow Stag,June - Sept,Tree,19 - 8,"6,000"
Rajah Brooke’s Birdwing,"Dec - Feb | Apr - Sept","Near black, blue, or purple flowers",8 - 17,"2,500"
Red Dragonfly,Sept - Oct,Flying,8 - 19,180
Rosalia Batsei Beetle,May - June,Tree stump,All day,"3,000"
Scorpion,TBD,Ground,Night,
Snail,All year,Rock (rain),All day,250
Spider,All year,Shake tree,19 - 8,600
Stinkbug,Mar - Oct,Flowers,All day,120
Tarantula,Nov - Apr,Ground,19 - 4,"8,000"
Tiger Beetle,Feb - Oct,Ground,All day,"1,500"
Tiger Butterfly,Mar - Sept,Flying,4 - 19,240
Violin Beetle,"May - June | Sept - Nov",Tree stump,All day,450
Walker Cicada,Aug - Sept,Tree,8 - 16,400
Walking Leaf,July - Sept,Ground,All day,600
Wasp,All year,Shake tree,All day,"2,500"
Wharf Roach,All year,Beach (rocks),All day,200
Yellow Butterfly,"Mar - June | Sept - Oct",Flying,4 - 19,160
