Anchovy,All year,Ocean,4 - 21,200
Angelfish,May - Oct,River,16 - 9,"3,000"
Arowana,June - Sept,River,16 - 9,"10,000"
Barred Knifejaw,Mar - Nov,Ocean,All day,"5,000"
Barreleye,All year,Ocean,21 - 4,"12,000"
Betta,May - Oct,River,9 - 16,"2,500"
Bitterling,Nov - Mar,River,All day,900
Black Bass,All year,River,All day,400
Blowfish,Nov - Feb,Ocean,21 - 4,"5,000"
Blue Marlin,Nov - Apr | July - Sept,Pier,All day,"10,000"
Bluegill,All year,River,9 - 16,180
Carp,All year,River,All day,300
Catfish,May - Oct,Pond,16 - 9,800
Char,Mar - June | Sept - Nov,River,16 - 9,"3,800"
Cherry Salmon,Mar - June | Sept - Nov,River (Clifftop),All day,"1,000"
Clownfish,Apr - Sept,Ocean,All day,650
Coelacanth,All year,Ocean (Rain),All day,"15,000"
Crawfish,Apr - Sept,Pond,All day,200
Crucian Carp,All year,River,All day,160
Dab,Oct - Apr,Ocean,All day,300
Dace,All year,River,16 - 9,240
Football Fish,Nov - Mar,Ocean,16 - 9,"2,500"
Freshwater Goby,All year,River,16 - 9,400
Golden Trout,Mar - May | Sept - Nov,River (Clifftop),16 - 9,"15,000"
Goldfish,All year,Pond,All day,"1,300"
Guppy,Apr - Nov,River,9 - 16,"1,300"
Hammerhead Shark,June - Sept,Ocean,16 - 9,"8,000"
Horse Mackerel,All year,Ocean,All day,150
King Salmon,Sept,River (Mouth),All day,"1,800"
Koi,All year,Pond,16 - 9,"4,000"
Loach,Mar - May,River,All day,400
Mitten Crab,Sept - Nov,River,16 - 9,"2,000"
Moray Eel,Aug - Oct,Ocean,All day,"2,000"
Neon Tetra,Apr - Nov,River,4 - 16,500
Oarfish,Dec - May,Ocean,All day,"9,000"
Ocean Sunfish,July - Sept,Ocean,4 - 21,"4,000"
Olive Flounder,All year,Ocean,All day,800
Pale Chub,All year,River,9 - 16,200
Pike,Sept - Dec,River,All day,"1,800"
Piranha,June - Sept,River,9 - 16 | 4 - 21,"2,500"
Pond Smelt,Dec - Feb,River,All day,320
Pop-eyed Goldfish,All year,Pond,9 - 16,"1,300"
Puffer Fish,July - Sept,Ocean,All day,250
Rainbowfish,May - Oct,River,9 - 16,800
Ranchu Goldfish,All year,Pond,9 - 16,"4,500"
Ray,Aug - Nov,Ocean,4 - 21,"3,000"
Red Snapper,All year,Ocean,All day,"3,000"
Ribbon Eel,July - Oct,Ocean,All day,600
Salmon,Sept,River (Mouth),All day,700
Sea Bass,All year,Ocean,All day,400
Sea Butterfly,Dec - Mar,Ocean,All day,"1,000"
Seahorse,Apr - Nov,Ocean,All day,"1,100"
Soft-shelled Turtle,Aug - Sept,River,16 - 9,"3,750"
Squid,Dec - Aug,Ocean,All day,500
Stringfish,Dec - Mar,River (Clifftop),16 - 9,"15,000"
Sturgeon,Sept - Mar,River (Mouth),All day,"10,000"
Suckerfish,June - Sept,Ocean,All day,"1,500"
Sweetfish,July - Sept,River,All day,900
Tadpole,Mar - July,Pond,All day,100
Tilapia,June - Oct,River,All day,800
Tuna,Nov - Apr,Pier,All day,"7,000"
Whale Shark,June - Sept,Ocean,All day,"13,000"
Yellow Perch,Oct - Mar,River,All day,300
Zebra Turkeyfish,Apr - May | July - Nov,Ocean,All day,500
